"","","South","South"
"Year","Time","pv","gas"
"2016",411.00,0.00,4754.82
"2016",412.00,0.00,4573.25
"2016",413.00,0.00,4431.32
"2016",414.00,0.00,4411.04
"2016",415.00,0.00,4508.74
"2016",416.00,67.58,4879.87
"2016",417.00,849.89,4969.45
"2016",418.00,2457.82,4129.25
"2016",419.00,3455.38,3433.07
"2016",420.00,3865.70,3057.77
"2016",421.00,3995.06,3000.31
"2016",422.00,3959.57,2473.59
"2016",423.00,3727.93,2812.13
"2016",424.00,3068.02,3654.54
"2016",425.00,1595.80,5106.48
"2016",426.00,341.13,6368.52
"2016",427.00,15.25,7019.74
"2016",428.00,0.00,7424.86
"2016",429.00,0.00,7398.13
"2016",430.00,0.00,7172.32
"2016",431.00,0.00,6861.72
"2016",432.00,0.00,6389.84
"2016",433.00,0.00,5631.31
"2016",434.00,0.00,5070.03
"2016",435.00,0.00,4727.17
"2016",436.00,0.00,4516.11
"2016",437.00,0.00,4461.73
"2016",438.00,0.00,4447.91
"2016",439.00,0.00,4537.31
"2016",440.00,69.07,4871.00
"2016",441.00,860.38,4858.49
"2016",442.00,2418.07,4036.28
"2016",443.00,3400.73,3374.36
"2016",444.00,3796.02,3033.45
"2016",445.00,3907.43,2911.90
"2016",446.00,3880.99,2407.46
"2016",447.00,3621.29,2742.74
"2016",448.00,2969.27,3503.52
"2016",449.00,1564.79,4806.62
"2016",450.00,349.55,5914.02
"2016",451.00,19.00,6641.80
"2016",452.00,0.00,7102.28
"2016",453.00,0.00,7107.81
"2016",454.00,0.00,6847.90
"2016",455.00,0.00,6586.15
"2016",456.00,0.00,6237.76
"2016",457.00,0.00,5573.25
"2016",458.00,0.00,5061.73
"2016",459.00,0.00,4698.60
"2016",460.00,0.00,4446.07
"2016",461.00,0.00,4297.68
"2016",462.00,0.00,4261.73
"2016",463.00,0.00,4248.83
"2016",464.00,70.70,4292.42
"2016",465.00,871.66,3572.56
"2016",466.00,2485.16,2334.17
"2016",467.00,3443.78,1882.46
"2016",468.00,3816.38,1650.88
"2016",469.00,3913.09,1562.46
"2016",470.00,3855.62,1486.29
"2016",471.00,3615.97,1543.46
"2016",472.00,3014.89,2146.38
"2016",473.00,1674.85,3366.60
"2016",474.00,397.62,4688.08
"2016",475.00,21.74,5692.52
"2016",476.00,0.00,6476.47
