"","","Mid","Mid","South","South","North","North"
"Year","Time","pv","gas","pv","gas","pv","gas"
"2016",210.00,0.00,71515.93,241.06,6510.06,0.00,15332.20
"2016",211.00,0.00,69551.05,8.50,7213.59,0.00,14977.35
"2016",212.00,0.00,65476.20,0.00,7462.64,0.00,14402.68
"2016",213.00,0.00,62618.71,0.00,7442.37,0.00,13676.47
"2016",214.00,0.00,60564.48,0.00,7211.03,0.00,12736.45
"2016",215.00,0.00,55391.41,0.00,6860.80,0.00,11861.69
"2016",216.00,0.00,51168.59,0.00,6461.73,0.00,11299.78
"2016",217.00,0.00,48945.25,0.00,5676.47,0.00,11040.95
"2016",218.00,0.00,48053.61,0.00,5080.16,0.00,10954.68
"2016",219.00,0.00,48604.16,0.00,4721.64,0.00,10923.17
"2016",220.00,0.00,50110.73,0.00,4490.30,0.00,11054.46
"2016",221.00,0.00,52856.76,0.00,4403.67,0.00,11612.62
"2016",222.00,0.00,59462.41,0.00,4439.61,0.00,13104.05
"2016",223.00,0.00,66311.15,0.00,4514.27,0.00,14667.51
"2016",224.00,0.00,68088.67,52.26,4833.43,0.00,15129.64
"2016",225.00,4357.38,62833.89,714.65,5026.34,0.00,14922.58
"2016",226.00,7382.71,60261.10,2176.36,4343.43,40.39,15004.47
"2016",227.00,9133.54,59469.18,3189.90,3639.56,68.96,14993.16
"2016",228.00,9623.53,58140.39,3546.06,3427.18,66.99,14948.62
"2016",229.00,10288.87,57160.86,3636.92,3363.05,60.09,14948.76
"2016",230.00,8262.79,58613.32,3531.38,2968.13,20.69,15142.71
"2016",231.00,4409.39,62157.34,3169.76,3508.55,13.79,15691.26
"2016",232.00,449.36,67608.57,2352.26,4501.16,0.00,15886.61
"2016",233.00,0.00,71829.16,915.33,5885.56,0.00,15946.63
"2016",234.00,0.00,71556.28,136.76,6642.94,0.00,15704.31
"2016",235.00,0.00,69463.61,4.19,7218.82,0.00,15281.93
"2016",236.00,0.00,65761.56,0.00,7416.56,0.00,14839.31
"2016",237.00,0.00,63569.93,0.00,7409.19,0.00,14284.14
"2016",238.00,0.00,61393.66,0.00,7223.01,0.00,13545.93
"2016",239.00,0.00,56034.20,0.00,6898.59,0.00,12704.94
"2016",240.00,0.00,52963.41,0.00,6499.51,0.00,12142.27
"2016",241.00,0.00,51160.91,0.00,5639.61,0.00,11950.22
"2016",242.00,0.00,50496.98,0.00,5049.75,0.00,11912.71
"2016",243.00,0.00,50939.92,0.00,4694.91,0.00,11960.72
"2016",244.00,0.00,51701.85,0.00,4532.70,0.00,12167.78
"2016",245.00,0.00,53914.62,0.00,4415.65,0.00,12778.46
"2016",246.00,0.00,59871.72,0.00,4412.89,0.00,14325.41
"2016",247.00,0.00,66632.07,0.00,4513.35,0.00,15786.08
"2016",248.00,0.00,68626.74,46.06,4845.16,0.00,16217.46
"2016",249.00,1290.04,67290.57,541.62,5165.27,0.00,15987.14
"2016",250.00,2560.72,66813.54,1513.63,4947.17,35.47,15995.19
"2016",251.00,3533.53,67164.74,2314.92,4470.30,83.74,15967.92
"2016",252.00,3644.53,66897.13,2769.01,4121.28,110.34,15943.57
"2016",253.00,3615.11,66831.42,2951.29,3950.98,89.65,16000.27
"2016",254.00,2426.69,67742.16,2953.08,3397.12,24.63,16288.10
"2016",255.00,996.01,69285.27,2721.56,3777.96,1.97,16791.65
"2016",256.00,101.46,70670.80,2031.37,4571.36,0.00,16912.91
"2016",257.00,0.00,73580.74,915.28,5599.90,0.00,16810.88
"2016",258.00,0.00,72598.78,185.32,6366.73,0.00,16495.04
"2016",259.00,0.00,70442.69,9.40,7020.07,0.00,15984.14
"2016",260.00,0.00,66675.31,0.00,7321.63,0.00,15423.72
"2016",261.00,0.00,64186.78,0.00,7354.81,0.00,14730.52
"2016",262.00,0.00,61754.93,0.00,7100.43,0.00,13826.51
"2016",263.00,0.00,57139.14,0.00,6856.19,0.00,12978.02
"2016",264.00,0.00,53497.63,0.00,6481.08,0.00,12380.84
"2016",265.00,0.00,51561.57,0.00,5625.78,0.00,12147.52
"2016",266.00,0.00,50881.31,0.00,5044.22,0.00,12111.51
"2016",267.00,0.00,51276.21,0.00,4719.80,0.00,12188.79
"2016",268.00,0.00,52532.00,0.00,4552.06,0.00,12400.35
"2016",269.00,0.00,54567.98,0.00,4446.07,0.00,12963.76
"2016",270.00,0.00,60706.68,0.00,4412.89,0.00,14467.20
"2016",271.00,0.00,67561.18,0.00,4516.11,0.00,16055.41
"2016",272.00,0.00,69293.55,56.92,4844.45,0.00,16399.01
"2016",273.00,1386.74,67244.80,766.12,4909.43,0.00,16233.96
"2016",274.00,3547.50,65261.79,2240.10,4261.26,132.01,16045.68
"2016",275.00,5081.62,64644.29,3265.09,3563.45,227.57,15832.34
"2016",276.00,5480.02,63507.03,3737.52,3140.79,267.96,15570.63
"2016",277.00,7327.63,60490.09,3897.92,2974.86,228.55,15347.46
"2016",278.00,5171.37,61137.86,3823.30,2509.40,58.12,15395.61
"2016",279.00,2650.66,63560.57,3502.12,2963.29,2.96,15723.11
"2016",280.00,200.30,67032.28,2794.83,3730.49,0.00,16073.41
"2016",281.00,0.00,70666.56,1434.89,5034.20,0.00,16109.42
"2016",282.00,0.00,70302.41,322.57,6101.37,0.00,15779.33
"2016",283.00,0.00,67981.06,13.50,6883.25,0.00,15134.89
"2016",284.00,0.00,63809.17,0.00,7278.31,0.00,14422.18
"2016",285.00,0.00,61421.53,0.00,7219.33,0.00,13767.24
"2016",286.00,0.00,60302.17,0.00,6956.65,0.00,13127.31
"2016",287.00,0.00,56429.10,0.00,6683.84,0.00,12431.86
"2016",288.00,0.00,53032.59,0.00,6361.26,0.00,11861.69
"2016",289.00,0.00,50721.81,0.00,5669.10,0.00,11523.34
"2016",290.00,0.00,49335.34,0.00,5129.01,0.00,11338.04
"2016",291.00,0.00,49382.42,0.00,4746.52,0.00,11214.25
"2016",292.00,0.00,49755.22,0.00,4474.64,0.00,11266.77
"2016",293.00,0.00,49305.56,0.00,4358.51,0.00,11414.56
"2016",294.00,0.00,49264.24,0.00,4274.64,0.00,11835.43
"2016",295.00,0.00,52440.72,0.00,4285.70,0.00,12309.57
"2016",296.00,0.00,55796.87,62.77,4363.94,0.00,12793.46
"2016",297.00,639.24,57452.07,859.41,3629.05,0.00,13201.58
"2016",298.00,1668.18,58135.33,2483.11,2433.00,153.68,13351.73
"2016",299.00,2660.12,57855.35,3476.74,1889.13,249.24,13386.71
"2016",300.00,3262.82,56225.54,3862.05,1638.39,278.80,13285.89
"2016",301.00,5855.72,51537.08,3949.90,1596.62,260.08,13199.58
"2016",302.00,4577.32,50376.91,3910.07,1524.01,130.04,13248.59
"2016",303.00,2439.96,52045.39,3657.13,1578.80,4.93,13844.09
"2016",304.00,339.43,54693.59,2971.32,2225.89,0.00,14698.26
"2016",305.00,0.00,59417.25,1547.33,3575.23,0.00,14981.10
"2016",306.00,0.00,59933.21,341.52,4870.44,0.00,14787.54
"2016",307.00,0.00,57857.84,13.97,6126.10,0.00,14384.67
"2016",308.00,0.00,54127.93,0.00,6563.11,0.00,13915.79
"2016",309.00,0.00,52420.55,0.00,6668.18,0.00,13380.88
"2016",310.00,0.00,52721.28,0.00,6532.69,0.00,12867.73
"2016",311.00,0.00,49512.14,0.00,6259.88,0.00,12367.34
"2016",312.00,0.00,46208.83,0.00,5945.60,0.00,11843.69
"2016",313.00,0.00,44272.77,0.00,5295.83,0.00,11588.61
"2016",314.00,0.00,43779.87,0.00,4802.75,0.00,11392.81
