"","","Mid","Mid","Mid","Mid","South","South","South","South","North","North","North","North"
"Year","Time","pv","gas","pmp_hydro","pmp_hydro2","pv","gas","pmp_hydro","pmp_hydro2","pv","gas","pmp_hydro","pmp_hydro2"
"2016",186.00,0.00,69333.90,0.00,0.00,223.03,6588.01,0.00,0.00,0.00,15729.06,0.00,0.00
"2016",187.00,0.00,67478.55,0.00,0.00,7.77,7184.83,0.00,0.00,0.00,15371.96,0.00,0.00
"2016",188.00,0.00,63208.66,0.00,0.00,0.00,7354.81,0.00,0.00,0.00,14782.29,0.00,0.00
"2016",189.00,0.00,60853.68,0.00,0.00,0.00,7322.55,0.00,0.00,0.00,14075.58,0.00,0.00
"2016",190.00,0.00,58885.92,0.00,0.00,0.00,7034.07,0.00,0.00,0.00,13305.86,0.00,0.00
"2016",191.00,0.00,53664.81,0.00,0.00,0.00,6738.22,0.00,0.00,0.00,12376.34,0.00,0.00
"2016",192.00,0.00,49588.04,0.00,0.00,0.00,6379.70,0.00,0.00,0.00,11853.44,0.00,0.00
"2016",193.00,0.00,47676.97,0.00,0.00,0.00,5545.60,0.00,0.00,0.00,11549.60,0.00,0.00
"2016",194.00,0.00,47009.19,0.00,0.00,0.00,4999.98,0.00,0.00,0.00,11468.58,0.00,0.00
"2016",195.00,0.00,47466.55,0.00,0.00,0.00,4643.30,0.00,0.00,0.00,11493.33,0.00,0.00
"2016",196.00,0.00,49011.55,0.00,0.00,0.00,4471.87,0.00,0.00,0.00,11651.63,0.00,0.00
"2016",197.00,0.00,51357.88,0.00,0.00,0.00,4378.78,0.00,0.00,0.00,12179.03,0.00,0.00
"2016",198.00,0.00,58306.54,0.00,0.00,0.00,4336.39,0.00,0.00,0.00,13761.99,0.00,0.00
"2016",199.00,0.00,65337.84,0.00,0.00,0.00,4478.32,0.00,0.00,0.00,15194.16,0.00,0.00
"2016",200.00,0.00,68334.65,0.00,0.00,59.32,4769.23,0.00,0.00,0.00,15602.28,0.00,0.00
"2016",201.00,328.10,67783.64,0.00,0.00,771.26,4907.06,0.00,0.00,0.00,15269.18,0.00,0.00
"2016",202.00,1087.68,68042.53,0.00,0.00,2333.80,4175.85,0.00,0.00,0.99,15339.47,0.00,0.00
"2016",203.00,1780.19,68418.45,0.00,0.00,3372.86,3432.64,0.00,0.00,10.84,15298.86,0.00,0.00
"2016",204.00,2242.57,67400.71,0.00,0.00,3786.07,3118.97,0.00,0.00,23.64,15192.27,0.00,0.00
"2016",205.00,4628.09,64521.33,0.00,0.00,3929.36,3042.04,0.00,0.00,30.54,15237.14,0.00,0.00
"2016",206.00,3128.27,65399.50,0.00,0.00,3878.57,2583.16,0.00,0.00,11.82,15447.91,0.00,0.00
"2016",207.00,1118.03,66896.66,0.00,0.00,3621.67,3013.33,0.00,0.00,0.00,15784.58,0.00,0.00
"2016",208.00,44.75,68746.29,0.00,0.00,2850.37,3934.85,0.00,0.00,0.00,15900.86,0.00,0.00
"2016",209.00,0.00,71616.81,0.00,0.00,1322.58,5384.30,0.00,0.00,0.00,15752.32,0.00,0.00
"2016",210.00,0.00,71515.93,0.00,0.00,241.06,6510.06,0.00,0.00,0.00,15332.20,0.00,0.00
"2016",211.00,0.00,69551.05,0.00,0.00,8.50,7213.59,0.00,0.00,0.00,14977.35,0.00,0.00
"2016",212.00,0.00,65476.20,0.00,0.00,0.00,7462.64,0.00,0.00,0.00,14402.68,0.00,0.00
